"sex_age"	"estimate"	"iter"	"population"
"Male_Juvenile"	0.1430952	73	"SP"
"Female_Adult"	0.6448719	74	"SP"
"Female_Juvenile"	0.059239	74	"SP"
"Male_Adult"	0.6965901	74	"SP"
"Male_Juvenile"	0.1101953	74	"SP"
"Female_Adult"	0.6896262	75	"SP"
"Female_Juvenile"	0.0831003	75	"SP"
"Male_Adult"	0.7182302	75	"SP"
"Male_Juvenile"	0.1301518	75	"SP"
"Female_Adult"	0.6291991	76	"SP"
"Female_Juvenile"	0.0944903	76	"SP"
"Male_Adult"	0.693246	76	"SP"
"Male_Juvenile"	0.1750214	76	"SP"
"Female_Adult"	0.663965	77	"SP"
"Female_Juvenile"	0.1087302	77	"SP"
"Male_Adult"	0.7149535	77	"SP"
"Male_Juvenile"	0.1496285	77	"SP"
"Female_Adult"	0.6863019	78	"SP"
"Female_Juvenile"	0.075198	78	"SP"
"Male_Adult"	0.6982641	78	"SP"
"Male_Juvenile"	0.1778572	78	"SP"
"Female_Adult"	0.6617731	79	"SP"
"Female_Juvenile"	0.0817862	79	"SP"
"Male_Adult"	0.6879754	79	"SP"
"Male_Juvenile"	0.123001	79	"SP"
"Female_Adult"	0.6765771	80	"SP"
"Female_Juvenile"	0.1159904	80	"SP"
"Male_Adult"	0.6643775	80	"SP"
"Male_Juvenile"	0.1473421	80	"SP"
"Female_Adult"	0.7898982	81	"SP"
"Female_Juvenile"	0.062105	81	"SP"
"Male_Adult"	0.6703027	81	"SP"
"Male_Juvenile"	0.1762808	81	"SP"
"Female_Adult"	0.6694046	82	"SP"
"Female_Juvenile"	0.0580951	82	"SP"
"Male_Adult"	0.7293282	82	"SP"
"Male_Juvenile"	0.1013605	82	"SP"
"Female_Adult"	0.6377177	83	"SP"
"Female_Juvenile"	0.1052429	83	"SP"
"Male_Adult"	0.6707195	83	"SP"
"Male_Juvenile"	0.1444535	83	"SP"
"Female_Adult"	0.6991537	84	"SP"
"Female_Juvenile"	0.1009386	84	"SP"
"Male_Adult"	0.7193647	84	"SP"
"Male_Juvenile"	0.1857327	84	"SP"
"Female_Adult"	0.6764138	85	"SP"
"Female_Juvenile"	0.0985255	85	"SP"
"Male_Adult"	0.6918109	85	"SP"
"Male_Juvenile"	0.1543576	85	"SP"
"Female_Adult"	0.7267822	86	"SP"
"Female_Juvenile"	0.0941801	86	"SP"
"Male_Adult"	0.6936845	86	"SP"
"Male_Juvenile"	0.1673597	86	"SP"
"Female_Adult"	0.6497936	87	"SP"
"Female_Juvenile"	0.086636	87	"SP"
"Male_Adult"	0.6902907	87	"SP"
"Male_Juvenile"	0.168542	87	"SP"
"Female_Adult"	0.6842481	88	"SP"
"Female_Juvenile"	0.0960385	88	"SP"
"Male_Adult"	0.7072652	88	"SP"
"Male_Juvenile"	0.1495359	88	"SP"
"Female_Adult"	0.7093348	89	"SP"
"Female_Juvenile"	0.1108583	89	"SP"
"Male_Adult"	0.7027515	89	"SP"
"Male_Juvenile"	0.1409364	89	"SP"
"Female_Adult"	0.6733779	90	"SP"
"Female_Juvenile"	0.0748751	90	"SP"
"Male_Adult"	0.697345	90	"SP"
"Male_Juvenile"	0.1705625	90	"SP"
"Female_Adult"	0.680895	91	"SP"
"Female_Juvenile"	0.0597064	91	"SP"
"Male_Adult"	0.6778502	91	"SP"
"Male_Juvenile"	0.1731251	91	"SP"
"Female_Adult"	0.7144552	92	"SP"
"Female_Juvenile"	0.1161304	92	"SP"
"Male_Adult"	0.678435	92	"SP"
"Male_Juvenile"	0.132604	92	"SP"
"Female_Adult"	0.6631133	93	"SP"
"Female_Juvenile"	0.1243136	93	"SP"
"Male_Adult"	0.7258178	93	"SP"
"Male_Juvenile"	0.1251672	93	"SP"
"Female_Adult"	0.7512915	94	"SP"
"Female_Juvenile"	0.0817961	94	"SP"
"Male_Adult"	0.6608835	94	"SP"
"Male_Juvenile"	0.159355	94	"SP"
"Female_Adult"	0.694824	95	"SP"
"Female_Juvenile"	0.0741997	95	"SP"
"Male_Adult"	0.685386	95	"SP"
"Male_Juvenile"	0.1483762	95	"SP"
"Female_Adult"	0.6938825	96	"SP"
"Female_Juvenile"	0.0877315	96	"SP"
"Male_Adult"	0.7063342	96	"SP"
"Male_Juvenile"	0.1529113	96	"SP"
"Female_Adult"	0.6786805	97	"SP"
"Female_Juvenile"	0.1022817	97	"SP"
"Male_Adult"	0.7065754	97	"SP"
"Male_Juvenile"	0.1294262	97	"SP"
"Female_Adult"	0.6849403	98	"SP"
"Female_Juvenile"	0.08824	98	"SP"
"Male_Adult"	0.7103158	98	"SP"
"Male_Juvenile"	0.1605134	98	"SP"
