"Sex_Age" "estimate" "iter" "population"
"Female_Adult" 0.6338564 73 "SP"
"Male_Adult" 0.7161216 73 "SP"
"Female_Juvenile" 0.1562513 73 "SP"
"Male_Juvenile" 0.2118417 73 "SP"
"Female_Adult" 0.7295312 74 "SP"
"Male_Adult" 0.7410949 74 "SP"
"Female_Juvenile" 0.1570752 74 "SP"
"Male_Juvenile" 0.1985074 74 "SP"
"Female_Adult" 0.6249029 75 "SP"
"Male_Adult" 0.7018699 75 "SP"
"Female_Juvenile" 0.1815302 75 "SP"
"Male_Juvenile" 0.2461183 75 "SP"
"Female_Adult" 0.6559885 76 "SP"
"Male_Adult" 0.6912032 76 "SP"
"Female_Juvenile" 0.121695 76 "SP"
"Male_Juvenile" 0.2074281 76 "SP"
"Female_Adult" 0.6741134 77 "SP"
"Male_Adult" 0.6494037 77 "SP"
"Female_Juvenile" 0.1592418 77 "SP"
"Male_Juvenile" 0.233232 77 "SP"
"Female_Adult" 0.6800693 78 "SP"
"Male_Adult" 0.7319311 78 "SP"
"Female_Juvenile" 0.152647 78 "SP"
"Male_Juvenile" 0.2396656 78 "SP"
"Female_Adult" 0.708413 79 "SP"
"Male_Adult" 0.7278497 79 "SP"
"Female_Juvenile" 0.1586622 79 "SP"
"Male_Juvenile" 0.1914974 79 "SP"
"Female_Adult" 0.7041249 80 "SP"
"Male_Adult" 0.7045676 80 "SP"
"Female_Juvenile" 0.1770866 80 "SP"
"Male_Juvenile" 0.2055605 80 "SP"
"Female_Adult" 0.6495716 81 "SP"
"Male_Adult" 0.7122802 81 "SP"
"Female_Juvenile" 0.1944236 81 "SP"
"Male_Juvenile" 0.2381945 81 "SP"
"Female_Adult" 0.6989124 82 "SP"
"Male_Adult" 0.7009019 82 "SP"
"Female_Juvenile" 0.1334932 82 "SP"
"Male_Juvenile" 0.2555052 82 "SP"
"Female_Adult" 0.6607193 83 "SP"
"Male_Adult" 0.6763507 83 "SP"
"Female_Juvenile" 0.1144999 83 "SP"
"Male_Juvenile" 0.1891415 83 "SP"
"Female_Adult" 0.7006053 84 "SP"
"Male_Adult" 0.6745646 84 "SP"
"Female_Juvenile" 0.1190051 84 "SP"
"Male_Juvenile" 0.2594991 84 "SP"
"Female_Adult" 0.6742193 85 "SP"
"Male_Adult" 0.7305175 85 "SP"
"Female_Juvenile" 0.156175 85 "SP"
"Male_Juvenile" 0.2242302 85 "SP"
"Female_Adult" 0.6949445 86 "SP"
"Male_Adult" 0.6711327 86 "SP"
"Female_Juvenile" 0.1412572 86 "SP"
"Male_Juvenile" 0.2583632 86 "SP"
"Female_Adult" 0.6381085 87 "SP"
"Male_Adult" 0.7125742 87 "SP"
"Female_Juvenile" 0.1664389 87 "SP"
"Male_Juvenile" 0.2709425 87 "SP"
"Female_Adult" 0.6534526 88 "SP"
"Male_Adult" 0.7263748 88 "SP"
"Female_Juvenile" 0.159032 88 "SP"
"Male_Juvenile" 0.2139279 88 "SP"
"Female_Adult" 0.6593393 89 "SP"
"Male_Adult" 0.7084023 89 "SP"
"Female_Juvenile" 0.1888373 89 "SP"
"Male_Juvenile" 0.2074849 89 "SP"
"Female_Adult" 0.6511507 90 "SP"
"Male_Adult" 0.6968121 90 "SP"
"Female_Juvenile" 0.144309 90 "SP"
"Male_Juvenile" 0.2102113 90 "SP"
"Female_Adult" 0.7211833 91 "SP"
"Male_Adult" 0.6925936 91 "SP"
