year,site,nest,ID,ring,age_sex,date,time,weight,bill,left_tarsus,right_tarsus,left_wing,right_wing,fat,blood,blood_tube,code,moult ,observer,comments,ages,zones,species,blood_bath,blood_madagascar,feather,slides,feacal
2006,B,8,2006_B_8,CA042,AM,601,1899-12-31 19:50:00,38.25,,25.8,25.9,111,112,2,1,,RX.MX|OX.LX,,CK,,,,,,,,,
2006,B,7,2006_B_7,CA043,AM,601,1899-12-31 20:15:00,40.5,,26.2,26.3,111,112,2,1,,RX.MX|OX.GX,,CK,,,,,,,,,
2006,C,110,2006_C_110,CA044,AF,602,1899-12-31 10:45:00,40.25,,26.5,26.4,111,112,0,1,,RX.MX|OX.WX,,CK,,,,,,,,,
2006,C,15,2006_C_15,CA1526,AF,602,1899-12-31 11:20:00,38.5,,23,,103,104,1,1,,YX.RX|YX.LM,,CK,Right tarsus stiff,,,,,,,,
2006,B,4,2006_B_4,CA045,JM,602,1899-12-31 11:50:00,4.6,,16.6,16.5,,,,1,,MX.XX|RX.XX,,CK,,,,,,,,,
2006,B,4,2006_B_4,CA046,JF,602,1899-12-31 16:20:00,5.5,,17,17,,,,1,,MX.XX|RX.XX,,CK,,,,,,,,,
2006,C,16,2006_C_16,CA047,AF,602,1899-12-31 17:35:00,34.75,,23.4,23.5,108,108,0,1,,RX.MX|OX.RX,,CK,both 2nd Primaries broken,,,,,,,,
2006,D,119,2006_D_119,CA048,AM,602,1899-12-31 18:15:00,37.5,,24.7,24.6,109,109,1,1,,RX.MX|OX.YX,,CK,,,,,,,,,
2006,D,117,2006_D_117,CA049,AM,602,1899-12-31 18:50:00,36.75,,25.5,25.6,108,110,0,1,,WX.MX|LX.BX,,CK,left 2nd Primary worn,,,,,,,,
2006,A,101,2006_A_101,CA050,AM,602,1899-12-31 20:40:00,38.25,,25.3,25.5,107,109,1,1,,WX.MX|LX.LX,,CK,,,,,,,,,
2006,A,104,2006_A_104,CA051,AM,602,1899-12-31 21:25:00,36.5,,26,26,110,111,1,1,,WX.MX|LX.GX,,CK,,,,,,,,,
2006,A,103,2006_A_103,CA052,AM,602,1899-12-31 21:45:00,40,,24.7,24.7,109,111,1,1,,WX.MX|LX.OX,,CK,,,,,,,,,
2006,C,7,2006_C_7,CA053,JM,602,1899-12-31 22:30:00,6,,17,17.1,,,,1,,MX.XX|WX.XX,,CK,,,,,,,,,
2006,C,12,2006_C_12,CA054,AM,602,1899-12-31 23:15:00,37,,25.3,25.3,108,108,2,1,,WX.MX|LX.WX,,CK,,,,,,,,,
2006,B,4,2006_B_4,CA055,JM,602,1899-12-31 23:50:00,5.6,,16.6,16.6,,,,1,,MX.XX|RX.XX,,CK,,,,,,,,,
2006,C,5,2006_C_5,CA056,JM,603,1899-12-31 08:50:00,6.1,,16.9,17,,,,1,,MX.XX|SX.XX,,CK,,,,,,,,,
2006,B,5,2006_B_5,802109721,AF,603,1899-12-31 09:05:00,39,,23.9,23.8,,,,0,,XX.WB|XX.RWM,,CK,,,,,,,,,
2006,B,5,2006_B_5,CA057,AM,603,1899-12-31 09:20:00,37.5,,24.9,25,,,,0,,WX.MX|WX.WX,,CK,,,,,,,,,
2006,C,110,2006_C_110,CA058,AM,603,1899-12-31 22:00:00,39.75,,24.6,24.5,111,111,3,1,,WX.MX|LX.RX,,CK,,,,,,,,,
2006,C,15,2006_C_15,802109768,AM,603,1899-12-31 22:30:00,40,,25.1,25.3,110,110,1,1,,WX.SX|LX.YM,,CK,Rings changed: previously WX.XX|LX.YM,,,,,,,,
2006,D,117,2006_D_117,CA059,JF,604,1899-12-31 08:00:00,6.1,,16.6,16.4,,,,1,,MX.XX|OX.XX,,CK,,,,,,,,,
2006,D,117,2006_D_117,CA060,AF,604,1899-12-31 08:10:00,37.75,,24.7,24.8,107,107,0,1,,WX.MX|GX.YX,,CK,,,,,,,,,
2006,D,119,2006_D_119,CA061,AF,604,1899-12-31 09:00:00,40.5,,24.9,24.9,109,110,0,1,,WX.MX|LX.YX,,CK,,,,,,,,,
2006,D,108,2006_D_108,CA062,AM,604,1899-12-31 09:30:00,44,,25.4,25.5,110,110,1,1,,WX.MX|GX.BX,,CK,,,,,,,,,
2006,D,113,2006_D_113,CA063,AF,604,1899-12-31 10:00:00,38.5,,25.2,25.2,108,108,1,1,,WX.MX|GX.LX,,CK,,,,,,,,,
2006,D,107,2006_D_107,CA064,Af,604,1899-12-31 17:50:00,36.75,,25.2,25.3,105,106,1,1,,WX.MX|GX.OX,,CK,,,,,,,,,
2006,D,8,2006_D_8,CA065,AM,604,1899-12-31 18:15:00,40.75,,25,25,109,108,1,1,,WX.MX|GX.RX,,CK,,,,,,,,,
2006,D,114,2006_D_114,CA066,Af,604,1899-12-31 18:45:00,33,,24,23.9,101,103,0,1,,WX.MX|GX.GX,,CK,,,,,,,,,
2006,D,9,2006_D_9,CA067,AM,604,1899-12-31 19:10:00,42.5,,26.3,26.4,107,108,1,1,,WX.MX|GX.WX,,CK,,,,,,,,,
2006,D,4,2006_D_4,CA068,AM,604,1899-12-31 19:35:00,44.25,,26.3,26.2,111,113,2,1,,WX.MX|OX.BX,,CK,,,,,,,,,
2006,D,11,2006_D_11,CA069,AM,604,1899-12-31 20:00:00,45,,25,25.1,110,110,1,1,,WX.MX|OX.LX,,CK,,,,,,,,,
