"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	3354.13462905983	235.934873223358	0	1216.638	"Kentish (Maio)"	4
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	3356.12566419027	237.925908353801	0	1216.6119	"Kentish (Maio)"	4
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	3356.47352905983	238.273773223358	0	1218.9769	"Kentish (Maio)"	4
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	3357.85026419027	239.650508353801	0	1218.3365	"Kentish (Maio)"	4
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	3369.92904783769	251.729292001222	0	1234.4474	"Kentish (Maio)"	4
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	3371.81032905983	253.610573223358	0	1234.3137	"Kentish (Maio)"	4
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	3372.87306419027	254.673308353802	0	1233.3594	"Kentish (Maio)"	4
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	3373.21874783769	255.018992001222	0	1237.7371	"Kentish (Maio)"	4
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	3374.49652905983	256.296773223358	0	1236.9999	"Kentish (Maio)"	4
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	3376.07776419027	257.878008353801	0	1236.564	"Kentish (Maio)"	4
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	3398.60591707577	280.406161239302	0	1265.1371	"Kentish (Maio)"	4
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	3400.54784783769	282.348092001223	0	1265.0662	"Kentish (Maio)"	4
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	20	3143.61182190581	0	0.999174290051682	1012.9452	"Kentish (Maio)"	5
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	36	3157.80902320442	14.1972012986143	0.00082557809125702	994.13057	"Kentish (Maio)"	5
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	13	3176.29418156028	32.6823596544787	7.99386894255682e-08	1059.889	"Kentish (Maio)"	5
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	14	3177.15735764192	33.5455357361161	5.19183305630181e-08	1058.7215	"Kentish (Maio)"	5
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	12	3206.16431995638	62.5524980505743	2.60938934256791e-14	1091.7876	"Kentish (Maio)"	5
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	13	3207.28328156028	63.6714596544784	1.49128091275911e-14	1090.8781	"Kentish (Maio)"	5
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	20	3213.46972190581	69.8579	0	1082.8031	"Kentish (Maio)"	5
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	3318.74491995638	175.133098050574	0	1204.3682	"Kentish (Maio)"	5
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	3319.54814602829	175.936324122486	0	1213.2632	"Kentish (Maio)"	5
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	3344.11881995638	200.506998050574	0	1229.7421	"Kentish (Maio)"	5
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	3344.40434602829	200.792524122486	0	1238.1194	"Kentish (Maio)"	5
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	3360.22990266449	216.618080758686	0	1255.9624	"Kentish (Maio)"	5
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	3361.59084602829	217.979024122486	0	1255.3059	"Kentish (Maio)"	5
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	3371.54035217391	227.928530268108	0	1269.2881	"Kentish (Maio)"	5
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	3372.12134602829	228.509524122486	0	1265.8364	"Kentish (Maio)"	5
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	3372.94390266449	229.332080758686	0	1268.6764	"Kentish (Maio)"	5
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	3377.55440266449	233.942580758686	0	1273.2869	"Kentish (Maio)"	5
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	3378.95164602829	235.339824122486	0	1272.6667	"Kentish (Maio)"	5
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	3392.12755217391	248.515730268108	0	1289.8753	"Kentish (Maio)"	5
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	3393.58680266449	249.974980758686	0	1289.3194	"Kentish (Maio)"	5
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	3393.62434602829	250.012524122486	0	1287.3394	"Kentish (Maio)"	5
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	3414.28844602829	270.676624122486	0	1308.0035	"Kentish (Maio)"	5
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	3415.04855217391	271.436730268108	0	1312.7963	"Kentish (Maio)"	5
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	3415.87280266449	272.260980758686	0	1311.6053	"Kentish (Maio)"	5
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	3445.35379098316	301.741969077356	0	1345.1146	"Kentish (Maio)"	5
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	3446.13035217391	302.518530268107	0	1343.8781	"Kentish (Maio)"	5
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	20	3321.13028969072	0	0.999210597412082	977.36401	"Kentish (Maio)"	6
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	36	3335.41721538462	14.2869256938939	0.000789388027622838	958.69931	"Kentish (Maio)"	6
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	13	3357.84305428865	36.7127645979281	1.06556878887765e-08	1028.3228	"Kentish (Maio)"	6
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	14	3359.85092733813	38.7206376474082	3.90460762821173e-09	1028.3018	"Kentish (Maio)"	6
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	12	3403.74546427105	82.6151745803259	0	1076.2519	"Kentish (Maio)"	6
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	13	3405.75525428865	84.6249645979278	0	1076.235	"Kentish (Maio)"	6
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	20	3408.71118969072	87.5809000000004	0	1064.9449	"Kentish (Maio)"	6
