"bird_ID" "ch" "sex" "age" "population"
"bird_1373" "0000010" "F" "J" "SP"
"bird_1771" "0000010" "M" "J" "SP"
"bird_1772" "0000010" "M" "J" "SP"
"bird_1381" "0000011" "M" "J" "SP"
"bird_1382" "0000010" "F" "J" "SP"
"bird_1383" "0000010" "F" "J" "SP"
"bird_1776" "0000010" "F" "J" "SP"
"bird_1777" "0000010" "M" "J" "SP"
"bird_1816" "0000010" "M" "J" "SP"
"bird_1778" "0000010" "F" "J" "SP"
"bird_361" "0100000" "F" "J" "SP"
"bird_404" "0100000" "F" "J" "SP"
"bird_421" "0100000" "F" "J" "SP"
"bird_425" "0100000" "F" "J" "SP"
"bird_435" "0100000" "M" "J" "SP"
"bird_436" "0100000" "F" "J" "SP"
"bird_439" "0100000" "M" "J" "SP"
"bird_448" "0100000" "F" "J" "SP"
"bird_449" "0100000" "M" "J" "SP"
"bird_497" "0100000" "F" "J" "SP"
"bird_498" "0100000" "M" "J" "SP"
"bird_516" "0100000" "F" "J" "SP"
"bird_521" "0100000" "M" "J" "SP"
"bird_524" "0100000" "M" "J" "SP"
"bird_526" "0100000" "M" "J" "SP"
"bird_531" "0100000" "M" "J" "SP"
"bird_534" "0100000" "F" "J" "SP"
"bird_535" "0100000" "M" "J" "SP"
"bird_537" "0100000" "M" "J" "SP"
"bird_543" "0100000" "M" "J" "SP"
"bird_544" "0100000" "M" "J" "SP"
"bird_564" "0100000" "M" "J" "SP"
"bird_569" "0100000" "M" "J" "SP"
"bird_578" "0100000" "M" "J" "SP"
"bird_579" "0100000" "F" "J" "SP"
"bird_580" "0100000" "M" "J" "SP"
"bird_585" "0100000" "M" "J" "SP"
"bird_586" "0100110" "M" "J" "SP"
"bird_600" "0100000" "F" "J" "SP"
"bird_601" "0100000" "F" "J" "SP"
"bird_602" "0100000" "M" "J" "SP"
"bird_632" "0100000" "F" "J" "SP"
"bird_633" "0100000" "M" "J" "SP"
"bird_634" "0100000" "M" "J" "SP"
"bird_642" "0100000" "M" "J" "SP"
"bird_643" "0100000" "M" "J" "SP"
"bird_644" "0100000" "F" "J" "SP"
"bird_656" "0100000" "M" "J" "SP"
"bird_657" "0100000" "F" "J" "SP"
"bird_664" "0100000" "M" "J" "SP"
"bird_665" "0100000" "M" "J" "SP"
"bird_666" "0100000" "F" "J" "SP"
"bird_3" "1110000" "M" "A" "SP"
"bird_4" "1100000" "M" "A" "SP"
"bird_5" "1110000" "M" "A" "SP"
"bird_6" "1000000" "F" "A" "SP"
"bird_7" "1100000" "F" "A" "SP"
"bird_8" "1100000" "M" "A" "SP"
"bird_9" "1010000" "F" "A" "SP"
"bird_10" "1000000" "M" "A" "SP"
"bird_11" "1000000" "M" "A" "SP"
"bird_12" "1111100" "M" "A" "SP"
"bird_13" "1100000" "F" "A" "SP"
"bird_14" "1100000" "M" "A" "SP"
"bird_15" "1100000" "F" "A" "SP"
"bird_16" "1000000" "F" "A" "SP"
"bird_17" "1000000" "M" "A" "SP"
"bird_18" "1100000" "F" "A" "SP"
"bird_19" "1100000" "M" "A" "SP"
"bird_20" "1000000" "F" "A" "SP"
"bird_21" "1000000" "M" "A" "SP"
"bird_22" "1000000" "M" "A" "SP"
"bird_23" "1110000" "M" "A" "SP"
"bird_24" "1100000" "F" "A" "SP"
"bird_25" "1000000" "F" "A" "SP"
"bird_26" "1110000" "F" "A" "SP"
"bird_27" "1000000" "F" "A" "SP"
"bird_28" "1110000" "M" "A" "SP"
"bird_29" "1000000" "M" "A" "SP"
"bird_30" "1100000" "M" "A" "SP"
"bird_31" "1000000" "F" "A" "SP"
"bird_32" "1000000" "F" "A" "SP"
"bird_38" "1100000" "F" "A" "SP"
"bird_39" "1000000" "F" "A" "SP"
"bird_40" "1000000" "M" "A" "SP"
"bird_41" "1100000" "F" "A" "SP"
"bird_42" "1000000" "F" "A" "SP"
"bird_43" "1000000" "F" "A" "SP"
