"ch"	"Ring"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"010.0000000.0000..........."	"DJ32465"	"1999"	623	69	"F"	"1999_C2_226"	"-1"
"000001.0000000.0.000......."	"DJ32466"	"1999"	619	65	"F"	"1999_B1_-2"	NA
"0001.0000000.0.000........."	"DJ32467"	"1999"	621	67	"F"	"1999_B1_-2"	NA
"00001.0000000.0.000........"	"DJ32468"	"1999"	620	66	"M"	"1999_B1_-2"	NA
"1000.0000.................."	"DJ32469"	"1999"	630	76	"M"	"1999_C2_227"	"-1"
"1000.0000.................."	"DJ32470"	"1999"	630	76	"M"	"1999_C2_227"	"-1"
"1000.0000.................."	"DJ32471"	"1999"	630	76	"F"	"1999_C2_227"	"-1"
"10.0000...................."	"DJ32473"	"1999"	702	78	"F"	"1999_C1_48"	"3"
"1.0000....................."	"DJ32474"	"1999"	703	79	"F"	"1999_C1_48"	"3"
"1.0000....................."	"DJ32475"	"1999"	703	79	"M"	"1999_C1_48"	"3"
"1000......................."	"DJ32476"	"1999"	705	81	"F"	"1999_C2_140"	""
"000.1000..................."	"DJ32477"	"1999"	701	77	"F"	"1999_C2_-2"	NA
"000000.1000................"	"DJ32478"	"1999"	628	74	"F"	"1999_C2_-2"	NA
".1000......................"	"DJ32479"	"1999"	704	80	"F"	"1999_C2_-2"	NA
"0.1000....................."	"DJ32480"	"1999"	703	79	"F"	"1999_C2_140"	""
"1000......................."	"DJ32481"	"1999"	705	81	"F"	"1999_C2_140"	""
"010........................"	"DJ32482"	"1999"	706	82	"F"	"1999_B1_167"	""
"10........................."	"DJ32483"	"1999"	707	83	"M"	"1999_B1_167"	""
"10000000.0000000.0.000....."	"DJ32501"	"1999"	617	63	"F"	"1999_B1_-51"	NA
"10000000.0000000.0.000....."	"DJ32502"	"1999"	617	63	"F"	"1999_B1_-51"	NA
"100000.0000000.0.000......."	"DJ32505"	"1999"	619	65	"M"	"1999_B1_-52"	NA
"100000.0000000.0.000......."	"DJ32508"	"1999"	619	65	"F"	"1999_B1_70"	"3"
"100000.0.000..............."	"DJ32511"	"1999"	627	73	"F"	"1999_B1_69"	"2"
"10000.0.000................"	"DJ32514"	"1999"	628	74	"F"	"1999_B1_69"	"2"
"000001000000000000000000000"	"DJ4252"	"1998"	525	40	"F"	"1998_B1_-3"	NA
"001000000.0000000000..000.0"	"DJ4253"	"1998"	529	44	"F"	"1998_D1_22"	NA
"1000000.0000000000..000.0.."	"DJ4254"	"1998"	531	46	"F"	"1998_D1_22"	NA
"100000000100000000001000000"	"DJ4256"	"1998"	531	46	"M"	"1998_B3_6"	"3"
"100000000000000000000000000"	"DJ4257"	"1998"	531	46	"F"	"1998_C1_9"	"3"
"100000000010000000000000000"	"DJ4258"	"1998"	531	46	"F"	"1998_C1_9"	"3"
"100000000010000000001000000"	"DJ4259"	"1998"	531	46	"F"	"1998_C1_9"	"3"
"100000000000000000000000000"	"DJ4262"	"1998"	531	46	"F"	"1998_B3_6"	"3"
"100000000000000000001000000"	"DJ4263"	"1998"	531	46	"F"	"1998_B3_6"	"3"
"01000000.0000000000..000.0."	"DJ4264"	"1998"	530	45	"F"	"1998_D1_22"	NA
"100000000000000000000000000"	"DJ4266"	"1998"	601	47	"M"	"1998_C3_7"	"3"
"010000000000000000000000000"	"DJ4268"	"1998"	531	46	"F"	"1998_B1_-4"	NA
"000100000000000000000000000"	"DJ4269"	"1998"	529	44	"M"	"1998_B1_-4"	NA
"000100000000000000000000000"	"DJ4270"	"1998"	529	44	"F"	"1998_B1_-4"	NA
"000001000000000000000000000"	"DJ4272"	"1998"	528	43	"M"	"1998_B1_-5"	NA
"01000100000000000000000000."	"DJ4273"	"1998"	601	47	"M"	"1998_B1_-5"	NA
"000100000000000000000000000"	"DJ4274"	"1998"	530	45	"F"	"1998_B1_-5"	NA
"000001000000000000000001000"	"DJ4275"	"1998"	528	43	"M"	"1998_B2_-3"	NA
"000001000000000000000001000"	"DJ4276"	"1998"	528	43	"M"	"1998_B2_-3"	NA
"000100000000100000000000000"	"DJ4277"	"1998"	530	45	"M"	"1998_B2_-3"	NA
"000001000000000100000000000"	"DJ4280"	"1998"	528	43	"M"	"1998_B1_-6"	NA
"000000100000000000000000000"	"DJ4281"	"1998"	527	42	"F"	"1998_B1_-6"	NA
"000010000000000000000000010"	"DJ4282"	"1998"	529	44	"F"	"1998_B1_-6"	NA
"000001000000000001000000001"	"DJ4283"	"1998"	529	44	"M"	"1998_B1_-7"	NA
"000100000000000000000000000"	"DJ4285"	"1998"	531	46	"M"	"1998_B1_-7"	NA
"000001000000000000000000000"	"DJ4287"	"1998"	529	44	"M"	"1998_B1_-7"	NA
"10000000000000000000000.000"	"DJ4288"	"1998"	604	50	"F"	"1998_B3_2"	"2"
"100.0000100000..001.0..0..."	"DJ4291"	"1998"	604	50	"F"	"1998_D1_9"	"3"
"10000000001000000000100.000"	"DJ4292"	"1998"	604	50	"M"	"1998_B1_1"	"3"
"100.0000000000..000.0..0..."	"DJ4293"	"1998"	604	50	"M"	"1998_D1_9"	"3"
"10000000001000000000100.000"	"DJ4294"	"1998"	604	50	"F"	"1998_B1_1"	"3"
"10000000000000000000000.000"	"DJ4297"	"1998"	604	50	"M"	"1998_B1_1"	"3"
"10000000000000000000000.000"	"DJ4298"	"1998"	604	50	"F"	"1998_B1_1"	"3"
"1100000000000000000000.000."	"DJ4299"	"1998"	605	51	"F"	"1998_B2_3"	"3"
"110000000000000000000000000"	"DJ4301"	"1998"	606	52	"F"	"1998_C3_9"	"3"
"100000000000000000000.000.0"	"DJ4303"	"1998"	606	52	"F"	"1998_B2_3"	"3"
"100000000000000000000.000.0"	"DJ4304"	"1998"	606	52	"M"	"1998_B2_3"	"3"
"100000000001000000000000000"	"DJ4305"	"1998"	606	52	"M"	"1998_C3_9"	"3"
"100000000001000000000100010"	"DJ4306"	"1998"	606	52	"F"	"1998_C3_9"	"3"
"000000011000000000000000000"	"DJ4309"	"1998"	530	45	"F"	"1998_B2_-4"	NA
"00000110000000000000000000."	"DJ4310"	"1998"	601	47	"M"	"1998_B2_-4"	NA
"000000110000000000000000000"	"DJ4311"	"1998"	531	46	"F"	"1998_B2_-4"	NA
"1000000000..001.0..0...0.10"	"DJ4315"	"1998"	608	54	"F"	"1998_D1_18"	"3"
"1000000000..001.0..0...0.00"	"DJ4316"	"1998"	608	54	"M"	"1998_D1_18"	"3"
"1000000000..000.0..0...0.00"	"DJ4317"	"1998"	608	54	"M"	"1998_D1_18"	"3"
"00.0100000000..000.0..0...0"	"DJ4319"	"1998"	605	51	"M"	"1998_D3_-99"	NA
"0.0100000000..000.0..0...0."	"DJ4320"	"1998"	606	52	"M"	"1998_D3_-99"	NA
"0.0100000000..000.0..0...0."	"DJ4321"	"1998"	606	52	"F"	"1998_D3_-99"	NA
"00010000000010000100.000.1."	"DJ4322"	"1998"	607	53	"F"	"1998_B3_-3"	NA
"010000000010000000.000.0..0"	"DJ4323"	"1998"	609	55	"M"	"1998_B3_-3"	NA
"0010000000010000100.000.1.."	"DJ4324"	"1998"	608	54	"F"	"1998_B3_-3"	NA
"1000000000000000000000000.."	"DJ4329"	"1998"	611	57	"F"	"1998_C2_120"	"3"
"1001000..001.0..1...0.000.."	"DJ4334"	"1998"	611	57	"F"	"1998_D1_20"	"3"
"1001000..001.0..0...0.000.."	"DJ4335"	"1998"	611	57	"F"	"1998_D1_20"	"3"
"1000000..000.0..0...0.000.."	"DJ4336"	"1998"	611	57	"F"	"1998_D1_20"	"3"
"100000000000000.000.0..0..0"	"DJ4337"	"1998"	612	58	"M"	"1998_B1_4"	"3"
"100000000000000.000.0..0..0"	"DJ4338"	"1998"	612	58	"M"	"1998_B1_4"	"3"
