"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"000.00.0.0000..00010.000000..000.10."	"FH72793"	"MP"	"2014"	428	78	"M"	"MP_2014_302"	NA
"...................00000000000100.10"	"FH72810"	"MP"	"2014"	218	9	"M"	"MP_2014_-1"	NA
"0010.100010000000000000000000000.000"	"FH72813"	"MP"	"2014"	319	38	"M"	"MP_2014_2"	2
"000000.000000001000000000000000001.0"	"FH72837"	"MP"	"2014"	317	36	"F"	"MP_2014_-2"	NA
"1000000000.0001000000.00.0.0000..000"	"FH72859"	"MP"	"2014"	410	60	"M"	"MP_2014_4"	2
"0100000000.0001000000.00.0.0000..000"	"FH72862"	"MP"	"2014"	410	60	"F"	"MP_2014_4"	2
"00000000000000000000001.0000000000.0"	"FH72868"	"MP"	"2014"	328	47	"F"	"MP_2014_-2"	NA
"000000.00.0.0100..00000.000000..000."	"FH72896"	"MP"	"2014"	425	75	"M"	"MP_2014_-3"	NA
"0000000000.00.0.0000..10000.000000.."	"FH72899"	"MP"	"2014"	421	71	"M"	"MP_2014_-4"	NA
"00000000.00.0.0000..10000.000000..00"	"FH72900"	"MP"	"2014"	423	73	"M"	"MP_2014_-4"	NA
".......00000000000000.00000000010000"	"FH72904"	"MP"	"2014"	302	21	"F"	"MP_2014_-400"	NA
"...00000000000000.000000000001000000"	"FH72905"	"MP"	"2014"	306	25	"M"	"MP_2014_-400"	NA
"0000000000000..0100.0000000000000..0"	"FH72968"	"MP"	"2015"	421	71	"M"	"MP_2015_-1"	NA
"000000000000..0100.0000000000000..00"	"FH72969"	"MP"	"2015"	422	72	"F"	"MP_2015_-1"	NA
"000000100000000.0000000000.00.0.0000"	"FH73009"	"MP"	"2014"	405	55	"M"	"MP_2014_-105"	NA
"000000000100000000.0000000000.00.0.0"	"FH73010"	"MP"	"2014"	402	52	"F"	"MP_2014_-105"	NA
"10010001.0000101000.00.0.0000..00000"	"FH73016"	"MP"	"2014"	412	62	"M"	"MP_2014_107"	1
"000010010001.0000101000.00.0.0000..0"	"FH73019"	"MP"	"2014"	408	58	"M"	"MP_2014_-106"	NA
"000.0100001000.00.0.0000..00000.0000"	"FH73037"	"MP"	"2014"	417	67	"F"	"MP_2014_-107"	NA
"100.00.0.0000..00000.000000..000.00."	"FH73060"	"MP"	"2014"	428	78	"M"	"MP_2014_108"	1
"0000010001101.00010001000000..0000.0"	"FH73502"	"MP"	"2015"	406	56	"F"	"MP_2015_400"	2
"1000.00110000101000..0000.0000000000"	"FH73507"	"MP"	"2015"	415	65	"M"	"MP_2015_101"	NA
"1000.00000000000000..0000.0000000000"	"FH73508"	"MP"	"2015"	415	65	"M"	"MP_2015_101"	NA
"100001000000..0000.0000000000000..00"	"FH73522"	"MP"	"2015"	422	72	"F"	"MP_2015_103"	NA
"1001011000..0000.0000000000000..0000"	"FH73545"	"MP"	"2015"	424	74	"M"	"MP_2015_103"	NA
"1000000..0000.0000000000000..00000.0"	"FH73554"	"MP"	"2015"	427	77	"F"	"MP_2015_-101"	NA
"100000..0000.0000000000000..00000.00"	"FH73557"	"MP"	"2015"	428	78	"M"	"MP_2015_-102"	NA
"1000..0000.0000000000000..00000.0000"	"FH73563"	"MP"	"2015"	430	80	"F"	"MP_2015_105"	NA
