"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"000000000000000.00000000000100000000"	"FH69192"	"WFP"	"2012"	423	74	"M"	"WFP_2012_10"	2
"0000.0000000000010000000010000000000"	"FH69193"	"WFP"	"2012"	504	85	"F"	"WFP_2012_-19"	NA
"000000.00000000000100000000100000001"	"FH69194"	"WFP"	"2012"	502	83	"F"	"WFP_2012_-19"	NA
".......1100.......100000000000000000"	"FH69206"	"WFP"	"2012"	401	52	"F"	"WFP_2012_-1"	NA
"..0110.......0000000000000000000.000"	"FH69208"	"WFP"	"2012"	406	57	"F"	"WFP_2012_-2"	NA
"000000.......0100.......100000000000"	"FH69211"	"WFP"	"2012"	326	46	"F"	"WFP_2012_-3"	NA
".000000.......0100.......10000000000"	"FH69212"	"WFP"	"2012"	325	45	"M"	"WFP_2012_-3"	NA
"....0100.......1000000000000000000.0"	"FH69213"	"WFP"	"2012"	404	55	"M"	"WFP_2012_-1"	NA
"0.......0000.......10010000000000000"	"FH69237"	"WFP"	"2012"	331	51	"M"	"WFP_2012_-4"	NA
".......000000.......0000.......00100"	"FH69247"	"WFP"	"2012"	319	39	"M"	"WFP_2012_-5"	NA
".000000.......0000.......00100000000"	"FH69248"	"WFP"	"2012"	325	45	"F"	"WFP_2012_-5"	NA
"01000000000000000.000000000000000000"	"FH69260"	"WFP"	"2012"	421	72	"M"	"WFP_2012_-101"	NA
"...000000.......0000.......001010000"	"FH69267"	"WFP"	"2012"	323	43	"M"	"WFP_2012_17"	1
"100001000000000.00000000000100000000"	"FH69272"	"WFP"	"2012"	423	74	"F"	"WFP_2012_10"	2
".......0000.......000000001000000000"	"FH69288"	"WFP"	"2012"	401	52	"F"	"WFP_2012_-9"	NA
".....0000000010000000000.00000000100"	"FH69290"	"WFP"	"2012"	414	65	"M"	"WFP_2012_-9"	NA
