"bird_ID" "ch" "sex" "age" "population"
"bird_1070" "0000010" "F" "J" "SP"
"bird_1071" "0000010" "M" "J" "SP"
"bird_1072" "0000010" "M" "J" "SP"
"bird_929" "0000011" "M" "J" "SP"
"bird_1074" "0000011" "M" "J" "SP"
"bird_1167" "0000011" "F" "J" "SP"
"bird_1078" "0000010" "M" "J" "SP"
"bird_1170" "0000010" "F" "J" "SP"
"bird_1173" "0000010" "M" "J" "SP"
"bird_1174" "0000010" "F" "J" "SP"
"bird_1082" "0000011" "F" "J" "SP"
"bird_1084" "0000010" "F" "J" "SP"
"bird_1087" "0000010" "F" "J" "SP"
"bird_1088" "0000010" "F" "J" "SP"
"bird_1090" "0000010" "M" "J" "SP"
"bird_1091" "0000010" "F" "J" "SP"
"bird_1092" "0000010" "M" "J" "SP"
"bird_1094" "0000010" "F" "J" "SP"
"bird_1105" "0000010" "F" "J" "SP"
"bird_1106" "0000010" "M" "J" "SP"
"bird_1108" "0000010" "M" "J" "SP"
"bird_1184" "0000011" "F" "J" "SP"
"bird_1185" "0000010" "F" "J" "SP"
"bird_1187" "0000010" "F" "J" "SP"
"bird_1191" "0000010" "F" "J" "SP"
"bird_1192" "0000010" "M" "J" "SP"
"bird_1114" "0000010" "F" "J" "SP"
"bird_1194" "0000010" "M" "J" "SP"
"bird_1195" "0000010" "M" "J" "SP"
"bird_1122" "0000011" "M" "J" "SP"
"bird_1123" "0000010" "F" "J" "SP"
"bird_1124" "0000010" "F" "J" "SP"
"bird_1199" "0000010" "F" "J" "SP"
"bird_1200" "0000010" "M" "J" "SP"
"bird_1239" "0000010" "M" "J" "SP"
"bird_1201" "0000010" "F" "J" "SP"
"bird_183" "0100000" "F" "J" "SP"
"bird_226" "0100000" "F" "J" "SP"
"bird_243" "0100000" "F" "J" "SP"
"bird_247" "0100000" "F" "J" "SP"
"bird_257" "0100000" "M" "J" "SP"
"bird_258" "0100000" "F" "J" "SP"
"bird_261" "0100000" "M" "J" "SP"
"bird_270" "0100000" "F" "J" "SP"
"bird_271" "0100000" "M" "J" "SP"
"bird_319" "0100000" "F" "J" "SP"
"bird_320" "0100000" "M" "J" "SP"
"bird_338" "0100000" "F" "J" "SP"
"bird_343" "0100000" "M" "J" "SP"
"bird_346" "0100000" "M" "J" "SP"
"bird_348" "0100000" "M" "J" "SP"
"bird_353" "0100000" "M" "J" "SP"
"bird_356" "0100000" "F" "J" "SP"
"bird_357" "0100000" "M" "J" "SP"
"bird_359" "0100000" "M" "J" "SP"
"bird_365" "0100000" "M" "J" "SP"
"bird_366" "0100000" "M" "J" "SP"
"bird_386" "0100000" "M" "J" "SP"
"bird_391" "0100000" "M" "J" "SP"
"bird_400" "0100000" "M" "J" "SP"
"bird_401" "0100000" "F" "J" "SP"
