"population" "no_chicks" "clutch_size" "year" "male" "female" "family_ID"
"KIP" 0 "2" 2014 "bird_5117" "bird_5116" "family_235"
"WFP" 0 "2" 2014 "bird_5578" "bird_4144" "family_2826"
"WFP" NA "2" 2014 "bird_5149" "bird_5148" "family_2825"
"WFP" 0 "3" 2014 "bird_5097" "bird_5096" "family_2818"
"WFP" 0 "2" 2014 "bird_5101" "bird_4414" "family_2817"
"KIP" 0 "2" 2014 "bird_5335" "bird_5338" "family_267"
"KIP" 2 "2" 2014 "bird_5315" "bird_5320" "family_264"
"KIP" NA "2" 2014 "bird_5349" "bird_5308" "family_262"
"KIP" 2 "2" 2014 "bird_5306" "bird_5302" "family_261"
"KIP" 2 "2" 2014 "bird_5296" "bird_5307" "family_259"
"KIP" NA "2" 2014 "bird_5310" "bird_5294" "family_257"
"KIP" NA "2" 2014 "bird_5301" "bird_5292" "family_256"
"KIP" 2 "2" 2014 "bird_5293" "bird_5299" "family_255"
"KIP" NA "2" 2014 "bird_5309" "bird_5295" "family_253"
"KIP" 0 "2" 2014 "bird_5298" "bird_4539" "family_251"
"KIP" 0 "2" 2014 "bird_5300" "bird_5290" "family_250"
"KIP" NA "2" 2014 "bird_5297" "bird_5289" "family_249"
"KIP" NA "2" 2014 "bird_5278" "bird_5277" "family_248"
"KIP" NA "2" 2014 "bird_5207" "bird_5208" "family_247"
"WFP" 0 "3" 2013 "bird_4272" "bird_4276" "family_2785"
"WFP" 0 "3" 2013 "bird_4101" "bird_4696" "family_2784"
"WFP" NA "3" 2013 "bird_4708" "bird_4337" "family_2781"
"WFP" 0 "2" 2013 "bird_4530" "bird_4271" "family_2779"
"WFP" 0 "2" 2013 "bird_4070" "bird_4341" "family_2778"
"WFP" NA "2" 2013 "bird_4590" "bird_4729" "family_2777"
"WFP" 2 "2" 2013 "bird_4479" "bird_4158" "family_2773"
"WFP" 2 "2" 2013 "bird_5031" "bird_4678" "family_2801"
"WFP" NA "2" 2013 "bird_5017" "bird_4707" "family_2799"
"WFP" 0 "1" 2013 "bird_5011" "bird_5012" "family_2798"
"WFP" 0 "2" 2013 "bird_5007" "bird_4709" "family_2797"
"WFP" 3 "3" 2013 "bird_4715" "bird_4723" "family_2796"
"WFP" 0 "2" 2013 "bird_4874" "bird_4990" "family_2795"
"WFP" 0 "2" 2013 "bird_4951" "bird_4950" "family_2794"
"WFP" 0 "3" 2013 "bird_4339" "bird_4934" "family_2793"
"WFP" 1 "2" 2013 "bird_4871" "bird_4160" "family_2790"
"WFP" 1 "2" 2013 "bird_4799" "bird_4930" "family_2789"
"WFP" NA "2" 2013 "bird_4418" "bird_4419" "family_2787"
"WFP" 1 "1" 2013 "bird_4413" "bird_4414" "family_2786"
