"chick_ID" "nest_ID" "population" "year" "male" "female"
"CA2704" "2009_S_5" "KPM" 2009 1 0
"CA1648" "2009_S_101" "KPM" 2009 1 0
"CA1650" "2009_S_101" "KPM" 2009 1 0
"CA1652" "2009_S_102" "KPM" 2009 0 1
"CA1657" "2009_S_7" "KPM" 2009 0 1
"CA1658" "2009_S_12" "KPM" 2009 1 0
"CA1660" "2009_S_7" "KPM" 2009 1 0
"CA1662" "2009_S_16" "KPM" 2009 0 1
"CA1663" "2009_S_16" "KPM" 2009 1 0
"CA2718" "2009_S_10" "KPM" 2009 0 1
"CA1677" "2009_S_15" "KPM" 2009 1 0
"CA1678" "2009_S_15" "KPM" 2009 1 0
"CA1679" "2009_S_108" "KPM" 2009 1 0
"CA1680" "2009_S_15" "KPM" 2009 1 0
"CA2722" "2009_S_33" "KPM" 2009 1 0
"CA2723" "2009_S_33" "KPM" 2009 0 1
"CA1684" "2009_S_114" "KPM" 2009 0 1
"CA1685" "2009_S_119" "KPM" 2009 1 0
"CA1689" "2009_S_114" "KPM" 2009 1 0
"CA1690" "2009_S_24" "KPM" 2009 0 1
"CA1691" "2009_S_116" "KPM" 2009 1 0
"CA1692" "2009_S_24" "KPM" 2009 0 1
"CA1695" "2009_S_119" "KPM" 2009 0 1
"CA2730" "2009_S_109" "KPM" 2009 0 1
"CA3001" "2009_S_11" "KPM" 2009 0 1
"CA3002" "2009_S_109" "KPM" 2009 0 1
"CA3003" "2009_S_13" "KPM" 2009 0 1
"CA3005" "2009_S_25" "KPM" 2009 0 1
"CA3006" "2009_S_17" "KPM" 2009 1 0
"CA1698" "2009_S_118" "KPM" 2009 0 1
"CA3008" "2009_S_118" "KPM" 2009 0 1
"CA3012" "2009_S_27" "KPM" 2009 1 0
"CA3013" "2009_S_27" "KPM" 2009 0 1
"CA2740" "2009_S_32" "KPM" 2009 0 1
"CA3024" "2009_S_29" "KPM" 2009 1 0
"CA3029" "2009_S_32" "KPM" 2009 0 1
"CA3030" "2009_S_30" "KPM" 2009 0 1
"CA3031" "2009_S_30" "KPM" 2009 0 1
"CA3032" "2009_S_30" "KPM" 2009 0 1
"CA3080" "2010_S_102" "KPM" 2010 0 1
"CA3081" "2010_S_102" "KPM" 2010 0 1
"CA3446" "2010_S_31" "KPM" 2010 0 1
"CA3613" "2010_S_102" "KPM" 2010 0 1
"CA3086" "2010_S_121" "KPM" 2010 1 0
"CA3087" "2010_S_121" "KPM" 2010 1 0
"CA3088" "2010_S_132" "KPM" 2010 1 0
"CA3089" "2010_S_132" "KPM" 2010 1 0
"CA3090" "2010_S_132" "KPM" 2010 1 0
"CA3091" "2010_S_121" "KPM" 2010 1 0
"CA3459" "2010_S_5" "KPM" 2010 1 0
"CA3467" "2010_S_22" "KPM" 2010 1 0
"CA3634" "2010_S_22" "KPM" 2010 0 1
