"ring"	"ch"	"sex"	"age"
"DJ24685"	"011100"	"F"	"A"
"DJ24688"	"010000"	"M"	"A"
"DJ24692"	"010000"	"F"	"A"
"DJ24693"	"011100"	"M"	"A"
"DJ24697"	"010100"	"M"	"A"
"DJ24698"	"010000"	"F"	"A"
"DJ24701"	"011000"	"F"	"A"
"DJ24702"	"010000"	"M"	"A"
"DJ24705"	"011110"	"M"	"A"
"DJ24705"	"011110"	"M"	"A"
"DJ24705"	"011110"	"M"	"A"
"DJ24706"	"011110"	"F"	"A"
"DJ24706"	"011110"	"F"	"A"
"DJ24706"	"011110"	"F"	"A"
"DJ24707"	"011101"	"F"	"A"
"DJ24707"	"011101"	"F"	"A"
"DJ24707"	"011101"	"F"	"A"
"DJ24707"	"011101"	"F"	"A"
"DJ24707"	"011101"	"F"	"A"
"DJ24707"	"011101"	"F"	"A"
"DJ24708"	"011100"	"M"	"A"
"DJ24708"	"011100"	"M"	"A"
"DJ24708"	"011100"	"M"	"A"
"DJ24711"	"010000"	"M"	"A"
"DJ24712"	"010000"	"M"	"A"
"DJ24715"	"011100"	"F"	"A"
"DJ24716"	"011000"	"F"	"A"
"DJ24718"	"010000"	"M"	"A"
"DJ24718"	"010000"	"M"	"A"
"DJ24718"	"010000"	"M"	"A"
"DJ24719"	"011100"	"F"	"A"
"DJ24719"	"011100"	"F"	"A"
"DJ24719"	"011100"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24720"	"011110"	"F"	"A"
"DJ24721"	"010000"	"M"	"A"
"DJ24722"	"010000"	"M"	"A"
"DJ24723"	"010000"	"M"	"A"
"DJ24724"	"011100"	"F"	"A"
"DJ24725"	"011110"	"M"	"A"
"DJ24725"	"011110"	"M"	"A"
"DJ24726"	"011000"	"F"	"A"
"DJ24727"	"010000"	"F"	"A"
"DJ24728"	"011000"	"F"	"A"
"DJ24729"	"010000"	"F"	"A"
"DJ24730"	"011100"	"M"	"A"
"DJ24730"	"011100"	"M"	"A"
"DJ24730"	"011100"	"M"	"A"
"DJ24731"	"011000"	"F"	"A"
"DJ24732"	"011110"	"F"	"A"
"DJ24733"	"011100"	"F"	"A"
"DJ24734"	"011110"	"F"	"A"
"DJ24735"	"011000"	"F"	"A"
"DJ24736"	"011100"	"F"	"A"
"DJ24737"	"011000"	"M"	"A"
"DJ24738"	"011110"	"M"	"A"
"DJ24738"	"011110"	"M"	"A"
"DJ24739"	"010010"	"F"	"A"
"DJ24740"	"010000"	"F"	"A"
"DJ24741"	"011100"	"F"	"A"
"DJ24741"	"011100"	"F"	"A"
"DJ24741"	"011100"	"F"	"A"
"DJ24742"	"010000"	"F"	"A"
"DJ24743"	"011100"	"F"	"A"
"DJ24744"	"011110"	"M"	"A"
"DJ24744"	"011110"	"M"	"A"
"DJ24744"	"011110"	"M"	"A"
"DJ24744"	"011110"	"M"	"A"
"DJ24745"	"011100"	"M"	"A"
"DJ24746"	"010100"	"M"	"A"
"DJ24749"	"011010"	"F"	"A"
"DJ24750"	"011110"	"M"	"A"
"DJ24750"	"011110"	"M"	"A"
"DJ24750"	"011110"	"M"	"A"
"DJ24751"	"011110"	"M"	"A"
"DJ24751"	"011110"	"M"	"A"
"DJ24751"	"011110"	"M"	"A"
"DJ24752"	"010000"	"F"	"A"
"DJ24753"	"010000"	"F"	"A"
"DJ24754"	"011000"	"F"	"A"
"DJ24754"	"011000"	"F"	"A"
"DJ24754"	"011000"	"F"	"A"
"DJ24755"	"011000"	"F"	"A"
"DJ24756"	"010000"	"M"	"A"
"DJ24757"	"011100"	"F"	"A"
"DJ24757"	"011100"	"F"	"A"
"DJ24758"	"010000"	"M"	"A"
"DJ24759"	"011000"	"F"	"A"
"DJ24760"	"011000"	"F"	"A"
"DJ24761"	"010000"	"F"	"A"
"DJ24761"	"010000"	"F"	"A"
"DJ24762"	"010000"	"M"	"A"
"DJ24762"	"010000"	"M"	"A"
"DJ24763"	"011000"	"M"	"A"
"DJ24764"	"011000"	"M"	"A"
"DJ24766"	"010000"	"F"	"A"
"DJ24767"	"010000"	"F"	"A"
"DJ24771"	"011000"	"F"	"A"
"DJ24773"	"010100"	"F"	"J"
"DJ24773"	"010100"	"F"	"J"
"DJ24774"	"010100"	"M"	"A"
"DJ24775"	"011000"	"M"	"A"
"DJ24775"	"011000"	"M"	"A"
"DJ24775"	"011000"	"M"	"A"
"DJ24776"	"010000"	"M"	"A"
"DJ24777"	"010000"	"M"	"A"
"DJ24778"	"011000"	"F"	"A"
"DJ24779"	"010000"	"M"	"A"
"DJ24780"	"010000"	"F"	"A"
"DJ24781"	"011000"	"M"	"A"
"DJ24782"	"010000"	"M"	"A"
"DJ24783"	"011100"	"M"	"A"
"DJ24783"	"011100"	"M"	"A"
"DJ24783"	"011100"	"M"	"A"
"DJ24784"	"011000"	"F"	"A"
"DJ24785"	"010000"	"M"	"A"
"DJ24786"	"011100"	"F"	"A"
"DJ24787"	"010000"	"F"	"J"
"DJ24788"	"010000"	"M"	"J"
"DJ24789"	"011110"	"M"	"J"
"DJ24789"	"011110"	"M"	"J"
"DJ24789"	"011110"	"M"	"J"
"DJ24789"	"011110"	"M"	"J"
"DJ24790"	"011000"	"M"	"A"
"DJ24791"	"011000"	"M"	"A"
"DJ24792"	"010000"	"F"	"A"
"DJ24795"	"010000"	"M"	"J"
"DJ24796"	"011000"	"M"	"A"
"DJ24797"	"011000"	"F"	"A"
"DJ24798"	"010000"	"F"	"A"
"DJ24799"	"010100"	"M"	"A"
"DJ24800"	"010000"	"M"	"A"
"DJ24801"	"011100"	"F"	"A"
"DJ24801"	"011100"	"F"	"A"
"DJ24801"	"011100"	"F"	"A"
"DJ24802"	"011010"	"M"	"A"
"DJ24803"	"011000"	"F"	"A"
"DJ24804"	"010000"	"M"	"A"
"DJ24805"	"011110"	"M"	"A"
"DJ24806"	"011010"	"F"	"A"
"DJ24807"	"011110"	"F"	"A"
"DJ24808"	"011010"	"M"	"A"
"DJ24809"	"011000"	"M"	"A"
"DJ24810"	"010000"	"F"	"A"
"DJ24811"	"011100"	"M"	"A"
"DJ24812"	"011110"	"M"	"A"
"DJ24813"	"011000"	"F"	"A"
"DJ24813"	"011000"	"F"	"A"
"DJ24813"	"011000"	"F"	"A"
"DJ24814"	"011100"	"F"	"A"
"DJ24815"	"011110"	"F"	"A"
"DJ24816"	"011100"	"M"	"A"
"DJ24816"	"011100"	"M"	"A"
"DJ24816"	"011100"	"M"	"A"
"DJ24816"	"011100"	"M"	"A"
"DJ24816"	"011100"	"M"	"A"
"DJ24816"	"011100"	"M"	"A"
"DJ24817"	"011110"	"M"	"A"
"DJ24818"	"011100"	"F"	"A"
"DJ24818"	"011100"	"F"	"A"
"DJ24818"	"011100"	"F"	"A"
"DJ24819"	"011000"	"F"	"A"
"DJ24820"	"011010"	"M"	"A"
"DJ24821"	"011000"	"F"	"A"
"DJ24822"	"010000"	"F"	"A"
"DJ24823"	"011100"	"M"	"A"
"DJ24824"	"011000"	"M"	"A"
"DJ24825"	"010000"	"M"	"A"
"DJ24826"	"010000"	"M"	"A"
"DJ24826"	"010000"	"M"	"A"
"DJ24826"	"010000"	"M"	"A"
"DJ24827"	"010000"	"F"	"A"
"DJ24828"	"010000"	"M"	"A"
"DJ24833"	"010000"	"M"	"A"
"DJ24834"	"010000"	"F"	"A"
"DJ24835"	"011110"	"F"	"A"
"DJ24836"	"011000"	"M"	"A"
"DJ24840"	"010010"	"M"	"J"
"DJ24842"	"011110"	"F"	"A"
"DJ24842"	"011110"	"F"	"A"
"DJ24842"	"011110"	"F"	"A"
"DJ24845"	"010000"	"M"	"A"
"DJ24846"	"011100"	"F"	"A"
"DJ24847"	"010000"	"F"	"A"
"DJ24848"	"010000"	"M"	"A"
"DJ24849"	"010000"	"M"	"A"
"DJ24850"	"011110"	"M"	"A"
"DJ24853"	"010100"	"M"	"A"
"DJ24854"	"010100"	"F"	"J"
"DJ24859"	"010000"	"M"	"A"
"DJ24860"	"010000"	"F"	"A"
"DJ24864"	"011100"	"M"	"A"
"DJ24865"	"010000"	"F"	"A"
"DJ24869"	"011100"	"F"	"A"
"DJ24877"	"010000"	"M"	"A"
"DJ24878"	"011100"	"F"	"A"
"DJ24881"	"011110"	"M"	"A"
"DJ24882"	"010000"	"F"	"A"
"DJ24884"	"011000"	"F"	"A"
"DJ24893"	"011000"	"M"	"A"
"DJ24895"	"010000"	"M"	"A"
"DJ24897"	"011000"	"F"	"A"
"DJ24898"	"010000"	"F"	"A"
"DJ24902"	"010000"	"M"	"A"
"DJ24903"	"010100"	"F"	"J"
"DJ24903"	"010100"	"F"	"J"
"DJ24903"	"010100"	"F"	"J"
"DJ24905"	"011100"	"M"	"A"
