year,site,nest,laying_date,hatching_date,parent1,parent2,parent3,chick1,chick2,chick3,species,comments
2013,Andavadoaka,52,,,FH69046,,,,,,WfP,
2013,Andavadoaka,53,,,FH47107,,,,,,WfP,
2013,Andavadoaka,54,,,FH17834,FH72330,,,,,WfP,
2013,Andavadoaka,55,,,FH47141,,,,,,WfP,
2013,Andavadoaka,56,,,FH72348,,,,,,WfP,
2013,Andavadoaka,57,,,FH72319,FH47981,,,,,WfP,
2013,Andavadoaka,58,,,FH72331,,,,,,WfP,
2013,Andavadoaka,59,,,FH72139,,,,,,WfP,
2013,Andavadoaka,60,,,FH72335,FH72336,,,,,WfP,
2013,Andavadoaka,62,,,FH72353,FH47934,,,,,WfP,
2013,Andavadoaka,63,,,FH72354,,,,,,WfP,
2013,Andavadoaka,64,,,FH72378,FH72252,,,,,WfP,
2013,Andavadoaka,65,,,FH69256,FH69233,,FH72412,FH72411,FH72413,WfP,
2013,Andavadoaka,66,,,FH72385,,,,,,WfP,
2013,Andavadoaka,67,,,FH72397,FH69211,,,,,WfP,
2013,Andavadoaka,68,,,FH72401,FH72402,,,,,WfP,
2013,Andavadoaka,69,,,FH72407,FH69208,,,,,WfP,
2013,Andavadoaka,71,,,FH69110,FH72425,,FH72427,FH72426,F,WfP,
2013,Andavadoaka,73,,,FH72432,,,,,,WfP,
2013,Andavadoaka,83,,,,,,,,,WfP,FH72previously registered here as a parent is actually a chick in 2013/KiP/83
2013,Andavadoaka,102,,,FH47370,FH68864,,FH47119,FH47366,,WfP,
2013,Andavadoaka,103,,,FH47390,FH47951,,FH47187,FH68870,,WfP,
2013,Andavadoaka,104,,,FH17280,,,,,,WfP,FH17280 was banded in 2011 in Tsimanampetsotsa
2013,Andavadoaka,106,,,FH68933,,,FH68934,FH68935,,WfP,
2013,Andavadoaka,112,,,FH69165,,,FH68924,FH68925,,WfP,
2013,Andavadoaka,113,,,FH68979,FH69288,,FH68980,,,WfP,
2013,Andavadoaka,114,,,FH47094,FH47988,,,,,WfP,
2013,Andavadoaka,116,,,FH68916,FH47617,,,,,WfP,
2013,Andavadoaka,117,,,FH68949,,,,,,WfP,
2013,Andavadoaka,120,,,FH69209,FH47947,,FH68992,120WfP2,120WfP1,WfP,
2013,Andavadoaka,121,,,FH47946,,,FH68996,FH68998,FH68997,WfP,
2013,Andavadoaka,123,,,FH68858,,,,,,WfP,
2013,Andavadoaka,201,,,FH69205,,,,,,WfP,
2013,Andavadoaka,203,,,FH69038,,,,,,WfP,
2013,Andavadoaka,204,,,FH69261,,,,,,WfP,
2013,Andavadoaka,205,,,FH69169,FH47144,,,,,WfP,
2013,Andavadoaka,206,,,FH47266,,,,,,WfP,
2013,Andavadoaka,207,,,FH47637,FH47621,,,,,WfP,
2013,Andavadoaka,208,,,FH68917,,,,,,WfP,
2013,Andavadoaka,209,,,FH47579,,,,,,WfP,
2013,Andavadoaka,400,,,FH72144,,,,,,WfP,
2013,Andavadoaka,401,,,FH72349,FH72350,,,,,WfP,
2014,Andavadoaka,-315,,,,,,FH72790,FH72791,,KiP,
2014,Andavadoaka,-314,,,FH72789,,,FH72787,FH72788,,KiP,
2014,Andavadoaka,-313,,,FH72782,,,FH72780,FH72781,,KiP,
2014,Andavadoaka,-312,,,,,,FH72777,FH72778,,KiP,
2014,Andavadoaka,-311,,,,,,FH73023,,,KiP,
2014,Andavadoaka,-310,,,FH72769,,,FH72770,,,KiP,
2014,Andavadoaka,-309,,,FH72765,,,FH72766,,,KiP,
